t,odom_x,odom_y,amcl_x,amcl_y,disagreement_m
1782386534.3,-2.949,4.816,-2.93,4.782,0.039
1782386535.3,-3.035,4.946,-2.93,4.782,0.195
1782386536.3,-3.075,5.002,-2.93,4.782,0.263
1782386537.3,-3.123,5.067,-2.93,4.782,0.344
1782386538.3,-3.123,5.067,-3.07,5.013,0.076
1782386539.3,-3.221,5.195,-3.07,5.013,0.237
1782386540.3,-3.271,5.259,-3.07,5.013,0.318
1782386541.3,-3.313,5.313,-3.07,5.013,0.386
1782386542.3,-3.313,5.313,-3.241,5.218,0.119
1782386543.3,-3.412,5.44,-3.241,5.218,0.28
1782386544.3,-3.46,5.504,-3.241,5.218,0.361
1782386545.3,-3.46,5.504,-3.422,5.402,0.109
1782386546.3,-3.557,5.634,-3.422,5.402,0.268
1782386547.3,-3.599,5.69,-3.422,5.402,0.337
1782386548.3,-3.599,5.69,-3.584,5.596,0.095
1782386549.3,-3.695,5.821,-3.584,5.596,0.251
1782386550.3,-3.736,5.878,-3.584,5.596,0.32
1782386551.3,-3.777,5.934,-3.584,5.596,0.389
1782386552.3,-3.777,5.934,-3.739,5.786,0.153
1782386553.3,-3.873,6.067,-3.739,5.786,0.311
1782386554.3,-3.92,6.133,-3.739,5.786,0.391
1782386555.3,-3.968,6.199,-3.739,5.786,0.472
1782386556.3,-3.968,6.199,-3.913,5.981,0.224
1782386557.3,-4.064,6.331,-3.913,5.981,0.381
1782386558.3,-4.105,6.387,-3.913,5.981,0.449
1782386559.3,-4.105,6.387,-4.074,6.201,0.189
1782386560.3,-4.208,6.529,-4.074,6.201,0.354
1782386561.3,-4.262,6.604,-4.074,6.201,0.445
1782386562.3,-4.262,6.604,-4.25,6.386,0.218
1782386563.3,-4.358,6.736,-4.25,6.386,0.366
1782386564.3,-4.406,6.802,-4.25,6.386,0.444
1782386565.3,-4.454,6.868,-4.25,6.386,0.523
1782386566.3,-4.454,6.868,-4.425,6.562,0.308
1782386567.3,-4.55,7.0,-4.425,6.562,0.456
1782386568.3,-4.612,7.084,-4.425,6.562,0.555
1782386569.3,-4.612,7.084,-4.625,6.725,0.36
1782386570.3,-4.715,7.225,-4.625,6.725,0.509
1782386571.3,-4.763,7.291,-4.625,6.725,0.583
1782386572.3,-4.763,7.291,-4.798,6.912,0.381
1782386573.3,-4.865,7.431,-4.798,6.912,0.524
1782386574.3,-4.912,7.497,-4.798,6.912,0.596
1782386575.3,-4.966,7.573,-4.798,6.912,0.682
1782386576.3,-4.966,7.573,-4.987,7.09,0.484
1782386577.3,-5.053,7.696,-4.987,7.09,0.61
1782386578.3,-5.101,7.762,-4.987,7.09,0.682
1782386579.3,-5.101,7.762,-5.128,7.289,0.474
1782386580.3,-5.189,7.885,-5.128,7.289,0.598
1782386581.3,-5.237,7.951,-5.128,7.289,0.67
1782386582.3,-5.237,7.951,-5.314,7.469,0.488
1782386583.3,-5.326,8.073,-5.314,7.469,0.605
1782386584.3,-5.374,8.139,-5.314,7.469,0.673
1782386585.3,-5.422,8.205,-5.314,7.469,0.744
1782386586.3,-5.422,8.205,-5.516,7.647,0.566
1782386587.3,-5.511,8.327,-5.516,7.647,0.681
1782386588.3,-5.559,8.393,-5.516,7.647,0.748
1782386589.3,-5.607,8.459,-5.516,7.647,0.817
1782386590.3,-5.607,8.459,-5.718,7.815,0.654
1782386591.3,-5.675,8.551,-5.718,7.815,0.738
1782386592.3,-5.688,8.57,-5.718,7.815,0.756
1782386593.3,-5.689,8.571,-5.718,7.815,0.757
1782386594.3,-5.689,8.571,-5.718,7.815,0.757
1782386595.3,-5.689,8.571,-5.718,7.815,0.757
1782386596.3,-5.689,8.571,-5.718,7.815,0.757
1782386597.3,-5.689,8.571,-5.718,7.815,0.757
1782386598.3,-5.689,8.571,-5.718,7.815,0.757
1782386599.3,-5.689,8.571,-5.718,7.815,0.757
1782386600.3,-5.689,8.571,-5.718,7.815,0.757
1782386601.3,-5.689,8.571,-5.718,7.815,0.757
1782386602.4,-5.689,8.571,-5.718,7.815,0.757
1782386603.4,-5.689,8.571,-5.718,7.815,0.757
1782386604.4,-5.689,8.571,-5.718,7.815,0.757
1782386605.4,-5.689,8.571,-5.718,7.815,0.757
1782386606.4,-5.689,8.571,-5.718,7.815,0.757
1782386607.4,-5.689,8.571,-5.718,7.815,0.757
1782386608.4,-5.689,8.571,-5.718,7.815,0.757
1782386609.4,-5.689,8.571,-5.718,7.815,0.757
1782386610.4,-5.689,8.571,-5.718,7.815,0.756
1782386611.4,-5.689,8.571,-5.718,7.815,0.756
1782386612.4,-5.689,8.571,-5.718,7.815,0.756
1782386613.4,-5.689,8.571,-5.718,7.815,0.756
1782386614.4,-5.689,8.57,-5.718,7.815,0.756
1782386615.4,-5.689,8.57,-5.718,7.815,0.756
1782386616.4,-5.689,8.57,-5.718,7.815,0.756
1782386617.4,-5.689,8.57,-5.718,7.815,0.756
1782386618.4,-5.689,8.57,-5.718,7.815,0.756
1782386619.4,-5.689,8.57,-5.718,7.815,0.756
1782386620.4,-5.689,8.57,-5.718,7.815,0.756
1782386621.4,-5.689,8.57,-5.718,7.815,0.756
1782386622.4,-5.689,8.57,-5.718,7.815,0.756
1782386623.4,-5.689,8.57,-5.718,7.815,0.756
1782386624.4,-5.689,8.57,-5.718,7.815,0.756
1782386625.4,-5.689,8.57,-5.718,7.815,0.756
1782386626.4,-5.689,8.57,-5.718,7.815,0.756
1782386627.4,-5.689,8.57,-5.718,7.815,0.756
1782386628.4,-5.689,8.57,-5.718,7.815,0.756
1782386629.4,-5.689,8.57,-5.718,7.815,0.756
1782386630.4,-5.689,8.57,-5.718,7.815,0.756
1782386631.4,-5.689,8.57,-5.718,7.815,0.756
1782386632.4,-5.689,8.57,-5.718,7.815,0.756
1782386633.4,-5.688,8.57,-5.718,7.815,0.756
1782386634.4,-5.688,8.57,-5.718,7.815,0.756
1782386635.4,-5.688,8.57,-5.718,7.815,0.756
1782386636.4,-5.688,8.57,-5.718,7.815,0.756
1782386637.4,-5.688,8.57,-5.718,7.815,0.756
1782386638.4,-5.688,8.57,-5.718,7.815,0.756
1782386639.4,-5.688,8.57,-5.718,7.815,0.756
1782386640.4,-5.688,8.57,-5.718,7.815,0.756
1782386641.4,-5.688,8.57,-5.718,7.815,0.755
1782386642.4,-5.688,8.57,-5.718,7.815,0.755
1782386643.4,-5.688,8.57,-5.718,7.815,0.755
1782386644.4,-5.688,8.569,-5.718,7.815,0.755
1782386645.4,-5.688,8.569,-5.718,7.815,0.755
1782386646.4,-5.688,8.569,-5.718,7.815,0.755
1782386647.4,-5.688,8.569,-5.718,7.815,0.755
1782386648.4,-5.688,8.569,-5.718,7.815,0.755
1782386649.4,-5.688,8.569,-5.718,7.815,0.755
1782386650.4,-5.688,8.569,-5.718,7.815,0.755
1782386651.4,-5.688,8.569,-5.718,7.815,0.755
1782386652.4,-5.688,8.569,-5.718,7.815,0.755
1782386653.4,-5.688,8.569,-5.718,7.815,0.755
1782386654.4,-5.688,8.569,-5.718,7.815,0.755
1782386655.4,-5.688,8.569,-5.718,7.815,0.755
1782386656.4,-5.688,8.569,-5.718,7.815,0.755
1782386657.4,-5.688,8.569,-5.718,7.815,0.755
1782386658.4,-5.688,8.569,-5.718,7.815,0.755
1782386659.4,-5.688,8.569,-5.718,7.815,0.755
1782386660.4,-5.688,8.569,-5.718,7.815,0.755
1782386661.4,-5.688,8.569,-5.718,7.815,0.755
1782386662.4,-5.688,8.569,-5.718,7.815,0.755
1782386663.4,-5.688,8.569,-5.718,7.815,0.755
1782386664.4,-5.688,8.569,-5.718,7.815,0.755
1782386665.4,-5.688,8.569,-5.718,7.815,0.755
1782386666.4,-5.688,8.569,-5.718,7.815,0.755
1782386667.4,-5.688,8.569,-5.718,7.815,0.755
1782386668.4,-5.688,8.569,-5.718,7.815,0.755
1782386669.4,-5.688,8.569,-5.718,7.815,0.755
1782386670.4,-5.688,8.569,-5.718,7.815,0.755
1782386671.4,-5.688,8.569,-5.718,7.815,0.755
1782386672.4,-5.688,8.569,-5.718,7.815,0.754
1782386673.4,-5.688,8.569,-5.718,7.815,0.754
1782386674.4,-5.687,8.568,-5.718,7.815,0.754
1782386675.4,-5.687,8.568,-5.718,7.815,0.754
1782386676.4,-5.687,8.568,-5.718,7.815,0.754
1782386677.4,-5.687,8.568,-5.718,7.815,0.754
1782386678.4,-5.687,8.568,-5.718,7.815,0.754
1782386679.4,-5.687,8.568,-5.718,7.815,0.754
1782386680.4,-5.687,8.568,-5.718,7.815,0.754
1782386681.4,-5.687,8.568,-5.718,7.815,0.754
1782386682.4,-5.687,8.568,-5.718,7.815,0.754
1782386683.4,-5.687,8.568,-5.718,7.815,0.754
1782386684.4,-5.687,8.568,-5.718,7.815,0.754
1782386685.4,-5.687,8.568,-5.718,7.815,0.754
1782386686.4,-5.687,8.568,-5.718,7.815,0.754
1782386687.4,-5.687,8.568,-5.718,7.815,0.754
1782386688.4,-5.687,8.568,-5.718,7.815,0.754
1782386689.4,-5.687,8.568,-5.718,7.815,0.754
1782386690.4,-5.687,8.568,-5.718,7.815,0.754
1782386691.4,-5.687,8.568,-5.718,7.815,0.754
1782386692.4,-5.687,8.568,-5.718,7.815,0.754
1782386693.4,-5.687,8.568,-5.718,7.815,0.754
1782386694.4,-5.687,8.568,-5.718,7.815,0.754
1782386695.5,-5.687,8.568,-5.718,7.815,0.754
1782386696.5,-5.687,8.568,-5.718,7.815,0.754
1782386697.5,-5.687,8.568,-5.718,7.815,0.754
1782386698.5,-5.687,8.568,-5.718,7.815,0.754
1782386699.5,-5.687,8.568,-5.718,7.815,0.754
1782386700.5,-5.687,8.568,-5.718,7.815,0.754
1782386701.5,-5.687,8.568,-5.718,7.815,0.754
1782386702.5,-5.687,8.568,-5.718,7.815,0.754
1782386703.5,-5.687,8.568,-5.718,7.815,0.753
1782386704.5,-5.687,8.567,-5.718,7.815,0.753
1782386705.5,-5.687,8.567,-5.718,7.815,0.753
