t,odom_x,odom_y,amcl_x,amcl_y,disagreement_m
1782390217.3,0.046,-1.792,0.131,-1.825,0.091
1782390218.3,-0.04,-1.755,0.131,-1.825,0.185
1782390219.3,-0.042,-1.758,0.131,-1.825,0.185
1782390220.3,-0.042,-1.758,-0.009,-1.788,0.044
1782390221.3,-0.042,-1.748,-0.009,-1.788,0.052
1782390222.3,-0.041,-1.742,-0.009,-1.788,0.056
1782390223.3,-0.04,-1.736,-0.009,-1.788,0.06
1782390224.3,-0.038,-1.731,-0.009,-1.788,0.064
1782390225.3,-0.037,-1.723,-0.009,-1.788,0.07
1782390226.3,-0.037,-1.717,-0.009,-1.788,0.076
1782390227.3,-0.035,-1.711,-0.009,-1.788,0.081
1782390228.3,-0.034,-1.706,-0.009,-1.788,0.085
1782390229.3,-0.034,-1.7,-0.009,-1.788,0.092
1782390230.3,-0.046,-1.691,-0.009,-1.788,0.104
1782390231.3,-0.046,-1.686,-0.009,-1.788,0.109
1782390232.3,-0.052,-1.674,-0.009,-1.788,0.122
1782390233.3,-0.065,-1.663,-0.009,-1.788,0.137
1782390234.3,-0.082,-1.65,-0.009,-1.788,0.156
1782390235.3,-0.118,-1.623,-0.009,-1.788,0.198
1782390236.3,-0.153,-1.596,-0.009,-1.788,0.24
1782390237.3,-0.194,-1.561,-0.009,-1.788,0.293
1782390238.3,-0.246,-1.512,-0.009,-1.788,0.364
1782390239.3,-0.297,-1.455,-0.009,-1.788,0.44
1782390240.3,-0.297,-1.455,-0.211,-1.579,0.151
1782390241.3,-0.387,-1.324,-0.211,-1.579,0.31
1782390242.3,-0.426,-1.262,-0.211,-1.579,0.384
1782390243.3,-0.47,-1.188,-0.211,-1.579,0.469
1782390244.3,-0.511,-1.111,-0.211,-1.579,0.556
1782390245.3,-0.511,-1.111,-0.411,-1.32,0.232
1782390246.3,-0.592,-0.939,-0.411,-1.32,0.422
1782390247.3,-0.592,-0.939,-0.526,-1.134,0.206
1782390248.3,-0.667,-0.757,-0.526,-1.134,0.403
1782390249.3,-0.696,-0.681,-0.526,-1.134,0.484
1782390250.3,-0.733,-0.584,-0.526,-1.134,0.588
1782390251.3,-0.733,-0.584,-0.627,-0.897,0.33
1782390252.3,-0.79,-0.433,-0.627,-0.897,0.491
1782390253.3,-0.819,-0.358,-0.627,-0.897,0.572
1782390254.3,-0.819,-0.358,-0.726,-0.655,0.311
1782390255.3,-0.882,-0.196,-0.726,-0.655,0.484
1782390256.3,-0.912,-0.121,-0.726,-0.655,0.565
1782390257.3,-0.912,-0.121,-0.827,-0.427,0.318
1782390258.3,-0.986,0.062,-0.827,-0.427,0.515
1782390259.3,-1.021,0.149,-0.827,-0.427,0.608
1782390260.3,-1.021,0.149,-0.943,-0.208,0.365
1782390261.3,-1.096,0.332,-0.943,-0.208,0.561
1782390262.3,-1.132,0.418,-0.943,-0.208,0.653
1782390263.3,-1.132,0.418,-1.09,-0.002,0.422
1782390264.3,-1.198,0.579,-1.09,-0.002,0.592
1782390265.3,-1.229,0.655,-1.09,-0.002,0.672
1782390266.3,-1.229,0.655,-1.227,0.212,0.442
1782390267.3,-1.296,0.816,-1.227,0.212,0.608
1782390268.3,-1.331,0.902,-1.227,0.212,0.698
1782390269.4,-1.331,0.902,-1.342,0.438,0.464
1782390270.4,-1.406,1.086,-1.342,0.438,0.651
1782390271.4,-1.437,1.161,-1.342,0.438,0.729
1782390272.4,-1.437,1.161,-1.441,0.627,0.534
1782390273.4,-1.507,1.334,-1.441,0.627,0.71
1782390274.4,-1.538,1.409,-1.441,0.627,0.788
1782390275.4,-1.538,1.409,-1.554,0.841,0.568
1782390276.4,-1.595,1.55,-1.554,0.841,0.71
1782390277.4,-1.622,1.615,-1.554,0.841,0.776
1782390278.4,-1.653,1.69,-1.554,0.841,0.854
1782390279.4,-1.653,1.69,-1.672,1.052,0.638
1782390280.4,-1.71,1.83,-1.672,1.052,0.779
1782390281.4,-1.736,1.895,-1.672,1.052,0.845
1782390282.4,-1.767,1.971,-1.672,1.052,0.923
1782390283.4,-1.767,1.971,-1.809,1.253,0.719
1782390284.4,-1.824,2.111,-1.809,1.253,0.858
1782390285.4,-1.855,2.186,-1.809,1.253,0.935
1782390286.4,-1.855,2.186,-1.929,1.437,0.753
1782390287.4,-1.913,2.327,-1.929,1.437,0.89
1782390288.4,-1.943,2.402,-1.929,1.437,0.966
1782390289.4,-1.97,2.467,-1.929,1.437,1.031
1782390290.4,-1.97,2.467,-2.024,1.641,0.828
1782390291.4,-2.027,2.607,-2.024,1.641,0.966
1782390292.4,-2.058,2.683,-2.024,1.641,1.042
1782390293.4,-2.084,2.747,-2.024,1.641,1.108
1782390294.4,-2.084,2.747,-2.219,1.814,0.943
1782390295.4,-2.141,2.888,-2.219,1.814,1.077
1782390296.4,-2.172,2.963,-2.219,1.814,1.15
1782390297.4,-2.172,2.963,-2.306,2.033,0.94
