beam_idx,beam_angle_world,measured_range_m,hit_world_x,hit_world_y,map_cell_state
0,-3.1413,3.5154,-3.466,-0.001,free
1,-3.1326,3.5146,-3.465,-0.032,free
2,-3.1239,3.5159,-3.466,-0.062,free
3,-3.1152,3.1835,-3.133,-0.084,free
4,-3.1065,3.1813,-3.13,-0.112,free
5,-3.0978,3.1826,-3.13,-0.139,free
6,-3.0891,3.18,-3.127,-0.167,free
7,-3.0804,3.181,-3.126,-0.194,free
8,-3.0717,2.9095,-2.853,-0.203,free
9,-3.063,2.9116,-2.854,-0.229,free
10,-3.0543,2.911,-2.851,-0.254,free
11,-3.0456,2.9067,-2.844,-0.279,free
12,-3.0369,2.9081,-2.843,-0.304,free
13,-3.0282,2.9091,-2.841,-0.329,free
14,-3.0195,2.9099,-2.839,-0.354,free
15,-3.0108,2.9091,-2.835,-0.379,free
16,-3.0021,2.9071,-2.83,-0.404,free
17,-2.9934,2.9084,-2.827,-0.429,free
18,-2.9847,2.9077,-2.823,-0.454,free
19,-2.976,3.1793,-3.087,-0.524,free
20,-2.9673,3.1787,-3.081,-0.551,free
21,-2.9586,3.1796,-3.077,-0.579,free
22,-2.9499,3.1778,-3.071,-0.605,free
23,-2.9412,3.1783,-3.066,-0.633,free
24,-2.9325,3.1809,-3.063,-0.66,free
25,-2.9238,3.5103,-3.378,-0.758,free
26,-2.9151,3.5091,-3.37,-0.788,free
27,-2.9064,3.5102,-3.364,-0.818,free
28,-2.8977,3.5081,-3.355,-0.847,free
29,-2.889,3.5064,-3.346,-0.876,free
30,-2.8803,3.5064,-3.338,-0.906,free
31,-2.8716,3.5075,-3.331,-0.935,free
32,-2.8629,3.506,-3.322,-0.964,free
33,-2.8542,3.1737,-2.994,-0.9,free
34,-2.8455,3.172,-2.985,-0.925,free
35,-2.8368,3.1736,-2.978,-0.952,free
36,-2.8281,3.1731,-2.969,-0.978,free
37,-2.8194,3.1714,-2.959,-1.004,free
38,-2.8107,3.1718,-2.951,-1.03,free
39,-2.802,3.1711,-2.941,-1.056,free
40,-2.7933,3.1706,-2.931,-1.082,free
41,-2.7846,3.1698,-2.921,-1.108,free
42,-2.7759,3.1685,-2.91,-1.133,free
43,-2.7672,3.1682,-2.9,-1.159,free
44,-2.7585,3.1686,-2.89,-1.184,free
45,-2.7498,3.4987,-3.185,-1.336,free
46,-2.7411,3.4967,-3.171,-1.363,free
47,-2.7324,3.4953,-3.158,-1.391,free
48,-2.7237,3.4939,-3.144,-1.418,free
49,-2.715,3.4945,-3.132,-1.446,free
50,-2.7063,3.4928,-3.118,-1.473,free
51,-2.6976,3.495,-3.107,-1.501,free
52,-2.6889,3.4946,-3.094,-1.528,free
53,-2.6802,3.4931,-3.079,-1.555,free
54,-2.6715,3.4929,-3.065,-1.582,free
55,-2.6628,3.49,-3.049,-1.608,free
56,-2.6541,3.4903,-3.035,-1.635,free
57,-2.6454,3.4871,-3.018,-1.66,free
58,-2.6367,3.1553,-2.713,-1.526,free
59,-2.628,3.1548,-2.699,-1.55,free
60,-2.6193,3.1526,-2.683,-1.573,free
61,-2.6106,3.1516,-2.669,-1.596,free
62,-2.6019,2.8774,-2.419,-1.479,free
63,-2.5932,2.8776,-2.407,-1.5,free
64,-2.5845,2.8769,-2.393,-1.521,free
65,-2.5758,2.8754,-2.378,-1.541,free
66,-2.5671,2.8753,-2.365,-1.562,free
67,-2.5584,2.8733,-2.349,-1.582,free
68,-2.5497,2.8709,-2.333,-1.602,free
69,-2.541,2.8698,-2.319,-1.622,free
70,-2.5323,2.8706,-2.305,-1.643,free
71,-2.5236,2.8695,-2.29,-1.663,free
72,-2.5149,2.8667,-2.273,-1.681,free
73,-2.5062,2.8658,-2.257,-1.701,free
74,-2.4975,2.8673,-2.244,-1.722,free
75,-2.4888,2.8649,-2.227,-1.74,free
76,-2.4801,2.863,-2.21,-1.759,free
77,-2.4714,2.8645,-2.196,-1.779,free
78,-2.4627,3.1351,-2.391,-1.969,free
79,-2.454,3.1341,-2.373,-1.989,free
80,-2.4453,3.1308,-2.353,-2.008,free
81,-2.4366,3.131,-2.336,-2.029,free
82,-2.4279,3.4612,-2.567,-2.266,free
83,-2.4192,3.4583,-2.545,-2.287,free
84,-2.4105,3.4599,-2.527,-2.31,free
85,-2.4018,3.4559,-2.504,-2.33,free
86,-2.3931,3.1252,-2.241,-2.127,free
87,-2.3844,3.1214,-2.219,-2.144,free
88,-2.3757,3.1214,-2.201,-2.164,free
89,-2.367,2.8462,-1.985,-1.991,free
90,-2.3583,2.845,-1.967,-2.007,free
91,-2.3496,2.8438,-1.948,-2.024,free
92,-2.3409,2.8435,-1.931,-2.041,free
93,-2.3322,2.8397,-1.91,-2.056,free
94,-2.3235,2.8387,-1.892,-2.072,free
95,-2.3148,2.8384,-1.873,-2.088,free
96,-2.3061,2.8361,-1.853,-2.103,free
97,-2.2974,2.8352,-1.835,-2.119,free
98,-2.2887,2.8352,-1.816,-2.135,free
99,-2.28,2.832,-1.795,-2.149,free
100,-2.2713,2.8303,-1.775,-2.164,free
101,-2.2626,2.8296,-1.756,-2.179,free
102,-2.2539,2.8262,-1.735,-2.192,free
103,-2.2452,2.8265,-1.716,-2.208,free
104,-2.2365,2.8255,-1.696,-2.222,free
105,-2.2278,2.8216,-1.674,-2.234,free
106,-2.2191,2.8222,-1.655,-2.25,free
107,-2.2104,3.0962,-1.799,-2.484,free
108,-2.2017,3.0935,-1.776,-2.498,free
109,-2.193,3.0933,-1.754,-2.514,free
110,-2.1843,3.0893,-1.73,-2.526,free
111,-2.1756,3.0911,-1.709,-2.543,free
112,-2.1669,3.4213,-1.872,-2.831,free
113,-2.1582,3.4185,-1.845,-2.845,free
114,-2.1495,3.0843,-1.638,-2.582,free
115,-2.1408,3.0814,-1.614,-2.594,free
116,-2.1321,3.0819,-1.591,-2.609,free
117,-2.1234,2.8029,-1.422,-2.386,free
118,-2.1147,2.8036,-1.402,-2.399,free
119,-2.106,2.7996,-1.379,-2.408,free
120,-2.0973,2.8016,-1.359,-2.422,free
121,-2.0886,2.7974,-1.336,-2.431,free
122,-2.0799,2.7986,-1.315,-2.444,free
123,-2.0712,2.7938,-1.291,-2.451,free
124,-2.0625,2.7929,-1.27,-2.462,free
125,-2.0538,2.7947,-1.249,-2.475,free
126,-2.0451,3.0681,-1.352,-2.729,free
127,-2.0364,1.9581,-0.83,-1.75,occupied
